Constituency_No,Constituency_Name,District,Winner_Candidate_2021,Winner_Party_2021,Winner_Votes_2021,Winner_Pct_2021,Margin_2021,Winner_Candidate_2026,Winner_Party_2026,Winner_Votes_2026,Winner_Pct_2026,Margin_2026,Seat_Status,Party_Change,Vote_Swing,Margin_Change,Minority_Pct,Women_Voter_Pct,Unemployment_Pct,SIR_Risk,Region
70,Rejinagar,Murshidabad,Rabiul Alam Chowdhury,AITC,118494,56.31,68268,Humayun Kabir,AJUP,123536,51.62,58876,Flipped,AITC → AJUP,-4.69,-9392,66.27,93.67,3.75,High,Minority Belt
71,Beldanga,Murshidabad,Hasanuzzaman Sk,AITC,112862,55.19,53832,Bharat Kumar Jhawar,BJP,72872,31.88,13208,Flipped,AITC → BJP,-23.31,-40624,66.27,93.67,3.75,High,Minority Belt
72,Baharampur,Murshidabad,Subrata Maitra (Kanchan),BJP,89340,45.21,26852,Subrata Maitra,BJP,91088,40.62,17548,Retained,BJP → BJP,-4.59,-9304,66.27,93.67,3.75,High,Minority Belt
73,Hariharpara,Murshidabad,Niamot Sheikh,AITC,102660,47.51,14066,Niamot Sheikh,AITC,80338,34.14,12665,Retained,AITC → AITC,-13.37,-1401,66.27,93.67,3.75,High,Minority Belt
74,Nowda,Murshidabad,Sahina Momtaz Khan,AITC,117684,58.16,74153,Humayun Kabir,AJUP,86463,39.02,27943,Flipped,AITC → AJUP,-19.14,-46210,66.27,93.67,3.75,High,Minority Belt
75,Domkal,Murshidabad,Jafikul Islam,AITC,127671,56.45,47229,Md. Mostafijur Rahaman,CPI(M),107882,41.85,16296,Flipped,AITC → CPI(M),-14.6,-30933,66.27,93.67,3.75,High,Minority Belt
76,Jalangi,Murshidabad,Abdur Razzak,AITC,123840,55.74,79276,Babar Ali,AITC,88684,35.01,21516,Retained,AITC → AITC,-20.73,-57760,66.27,93.67,3.75,High,Minority Belt
77,Karimpur,Nadia,Bimalendu Sinha Roy,AITC,110911,50.07,23575,Samarendranath Ghosh,BJP,105234,43.68,10185,Flipped,AITC → BJP,-6.39,-13390,26.76,91.8,3.45,High,South Bengal
78,Tehatta,Nadia,Tapas Kumar Saha,AITC,97848,44.86,6915,Subrata Kabiraj,BJP,112138,48.01,28253,Flipped,AITC → BJP,3.15,21338,26.76,91.8,3.45,High,South Bengal
79,Palashipara,Nadia,Dr. Manik Bhattacharya,AITC,110274,54.22,51336,Rukbanur Rahman,AITC,89241,41.58,11454,Retained,AITC → AITC,-12.64,-39882,26.76,91.8,3.45,High,South Bengal
80,Kaliganj,Nadia,Nasiruddin Ahamed (Lal),AITC,111696,53.35,46987,Alifa Ahmed,AITC,89292,40.77,10172,Retained,AITC → AITC,-12.58,-36815,26.76,91.8,3.45,High,South Bengal
81,Nakashipara,Nadia,Kallol Khan,AITC,104812,50.01,21271,Shantanu Dey,BJP,100600,48.85,17327,Flipped,AITC → BJP,-1.16,-3944,26.76,91.8,3.45,High,South Bengal
82,Chapra,Nadia,Rukbanur Rahman,AITC,73866,34.65,12118,Jeber Sekh,AITC,97085,46.06,30780,Retained,AITC → AITC,11.41,18662,26.76,91.8,3.45,High,South Bengal
83,Krishnanagar Uttar,Nadia,Mukul Roy,BJP,109357,54.19,35089,Tarak Nath Chatterjee,BJP,133211,65.93,78361,Retained,BJP → BJP,11.74,43272,26.76,91.8,3.45,High,South Bengal
84,Nabadwip,Nadia,Pundarikakshya Saha,AITC,102170,48.52,18571,Srutisekhar Goswami,BJP,108631,49.79,21444,Flipped,AITC → BJP,1.27,2873,26.76,91.8,3.45,High,South Bengal
85,Krishnanagar Dakshin,Nadia,Ujjal Biswas,AITC,91738,46.88,9305,Sadhan Ghosh,BJP,102862,52.19,27801,Flipped,AITC → BJP,5.31,18496,26.76,91.8,3.45,High,South Bengal
86,Santipur,Nadia,Jagannath Sarkar,BJP,109722,49.94,15878,Swapan Kumar Das,BJP,117941,54.86,45376,Retained,BJP → BJP,4.92,29498,26.76,91.8,3.45,High,South Bengal
87,Ranaghat Uttar Paschim,Nadia,Parthasarathi Chatterjee,BJP,113637,50.91,23128,Parthasarathi Chatterjee,BJP,129046,59.43,57551,Retained,BJP → BJP,8.52,34423,26.76,91.8,3.45,High,South Bengal
88,Krishnaganj,Nadia,Ashis Kumar Biswas,BJP,117668,50.73,21277,Sukanta Biswas,BJP,139838,60.15,60899,Retained,BJP → BJP,9.42,39622,26.76,91.8,3.45,High,South Bengal
89,Ranaghat Uttar Purba,Nadia,Ashim Biswas,BJP,116786,54.39,31782,Ashim Biswas,BJP,126235,59.71,51743,Retained,BJP → BJP,5.32,19961,26.76,91.8,3.45,High,South Bengal
90,Ranaghat Dakshin,Nadia,Mukut Mani Adhikari,BJP,119260,49.34,16515,Ashim Kumar Biswas,BJP,140010,60.17,64464,Retained,BJP → BJP,10.83,47949,26.76,91.8,3.45,High,South Bengal
91,Chakdaha,Nadia,Bankim Chandra Ghosh,BJP,99368,46.86,11680,Bankim Chandra Ghosh,BJP,115433,54.78,36945,Retained,BJP → BJP,7.92,25265,26.76,91.8,3.45,High,South Bengal
92,Kalyani,Nadia,Ambika Roy,BJP,97026,44.04,2206,Anupam Biswas,BJP,114469,53.12,34792,Retained,BJP → BJP,9.08,32586,26.76,91.8,3.45,High,South Bengal
93,Haringhata,Nadia,Asim Kumar Sarkar,BJP,97666,46.31,15200,Asim Kumar Sarkar,BJP,107900,50.72,22055,Retained,BJP → BJP,4.41,6855,26.76,91.8,3.45,High,South Bengal
94,Bagda,North 24 Parganas,Biswajit Das,BJP,108111,49.41,9792,Soma Thakur,BJP,121307,55.84,34616,Retained,BJP → BJP,6.43,24824,25.82,92.5,4.75,High,Kolkata Metro
95,Bangaon Uttar,North 24 Parganas,Ashok Kirtania,BJP,97761,47.65,10488,Ashok Kirtania,BJP,119317,56.46,40670,Retained,BJP → BJP,8.81,30182,25.82,92.5,4.75,High,Kolkata Metro
96,Bangaon Dakshin,North 24 Parganas,Swapan Majumder,BJP,97828,47.07,2004,Swapan Majumder,BJP,119399,56.27,37814,Retained,BJP → BJP,9.2,35810,25.82,92.5,4.75,High,Kolkata Metro
97,Gaighata,North 24 Parganas,Subrata Thakur,BJP,100808,47.27,9578,Subrata Thakur,BJP,121322,57.99,47683,Retained,BJP → BJP,10.72,38105,25.82,92.5,4.75,High,Kolkata Metro
