Constituency_No,Constituency_Name,District,Winner_Candidate_2021,Winner_Party_2021,Winner_Votes_2021,Winner_Pct_2021,Margin_2021,Winner_Candidate_2026,Winner_Party_2026,Winner_Votes_2026,Winner_Pct_2026,Margin_2026
131,Kakdwip,South 24 Parganas,Manturam Pakhira,AITC,114493,52.14,25302,Dipankar Jana,BJP,109373,47.29,4760
132,Sagar,South 24 Parganas,Bankim Chandra Hazra,AITC,129000,53.96,29846,Sumanta Mandal,BJP,127802,49.52,7881
133,Kulpi,South 24 Parganas,Jogaranjan Halder,AITC,96577,50.01,33818,Barnali Dhara,AITC,91266,43.94,10383
134,Raidighi,South 24 Parganas,Aloke Jaldata,AITC,115707,48.47,35568,Tapas Mondal,AITC,118991,46.16,5957
135,Mandirbazar,South 24 Parganas,Joydeb Halder,AITC,95834,48.04,23492,Joydeb Halder,AITC,93686,43.94,1995
136,Jaynagar,South 24 Parganas,Biswanath Das,AITC,104952,51.85,38683,Biswanath Das,AITC,108194,49.38,26350
137,Baruipur Purba,South 24 Parganas,Bivas Sardar (Vobo),AITC,123243,54.75,49641,Bivas Sardar,AITC,120987,50.98,31815
138,Canning Paschim,South 24 Parganas,Paresh Ram Das,AITC,111059,50.86,35243,Paresh Ram Das,AITC,120548,52.26,40665
139,Canning Purba,South 24 Parganas,Saokat Molla,AITC,122301,52.54,53007,Md Baharul Islam,AITC,148687,61.53,91954
140,Baruipur Paschim,South 24 Parganas,Biman Banerjee,AITC,121006,57.27,61910,Biman Banerjee,AITC,104781,47.41,17862
141,Magrahat Purba,South 24 Parganas,Namita Saha,AITC,110945,53.82,54079,Sarmistha Purkait,AITC,108412,48.8,31607
142,Magrahat Paschim,South 24 Parganas,Gias Uddin Molla,AITC,97006,49.93,46941,Shamim Ahmed Molla,AITC,113834,55.43,58503
143,Diamond Harbour,South 24 Parganas,Pannalal Halder,AITC,98478,43.69,16996,Pannalal Halder,AITC,119320,51.38,31266
144,Falta,South 24 Parganas,Sankar Kumar Naskar,AITC,117179,56.35,40774,Debangshu Panda,BJP,149666,71.2,109021
145,Satgachhia,South 24 Parganas,Mohan Chandra Naskar,AITC,118635,50.37,23318,Agniswar Naskar,BJP,111023,46.38,401
146,Bishnupur,South 24 Parganas,Dilip Mondal,AITC,136509,57.46,58832,Dilip Mondal,AITC,132647,52.93,36925
147,Sonarpur Dakshin,South 24 Parganas,Arundhuti Maitra (Lovely),AITC,109222,46.92,26181,Roopa Ganguly,BJP,128970,52.34,35782
148,Bhangar,South 24 Parganas,Md. Nawsad Siddique,ISF,109237,45.1,26151,Naushad Siddiqui,ISF,126555,47.33,32088
149,Kasba,South 24 Parganas,Ahmed Javed Khan,AITC,121372,54.39,63622,Javed Ahmed Khan,AITC,117893,48.88,20974
150,Jadavpur,South 24 Parganas,Debabrata Majumdar (Malay),AITC,98100,45.54,38869,Sarbori Mukherjee,BJP,106199,45.96,27716
151,Sonarpur Uttar,South 24 Parganas,Firdousi Begum,AITC,119957,49.88,36090,Debasish Dhar,BJP,119824,46.73,9807
